'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:16.227',0.236,0.043,-0.194,-0.140,0.215,-0.075,-0.114,0.155,0.191,0.072,-0.015,-0.034,0.150,-0.144,0.068
'0:16.228',0.255,0.033,-0.222,-0.143,0.238,-0.095,-0.119,0.152,0.187,0.067,-0.023,-0.044,0.150,-0.146,0.068
'0:16.229',0.244,0.033,-0.212,-0.139,0.229,-0.090,-0.114,0.162,0.197,0.074,-0.019,-0.041,0.151,-0.149,0.069
'0:16.230',0.239,0.024,-0.215,-0.132,0.228,-0.096,-0.114,0.166,0.202,0.075,-0.021,-0.042,0.150,-0.160,0.070
'0:16.231',0.205,-0.005,-0.211,-0.100,0.208,-0.108,-0.114,0.167,0.204,0.073,-0.028,-0.050,0.149,-0.164,0.068
'0:16.232',0.233,0.001,-0.232,-0.117,0.233,-0.116,-0.115,0.167,0.204,0.070,-0.034,-0.054,0.150,-0.170,0.067
'0:16.233',0.273,0.030,-0.243,-0.151,0.259,-0.107,-0.108,0.176,0.212,0.074,-0.032,-0.051,0.152,-0.171,0.068
'0:16.234',0.254,0.024,-0.230,-0.139,0.242,-0.103,-0.103,0.184,0.221,0.080,-0.030,-0.048,0.152,-0.166,0.067
'0:16.235',0.232,0.005,-0.226,-0.118,0.229,-0.111,-0.105,0.188,0.225,0.080,-0.033,-0.051,0.153,-0.166,0.067
'0:16.236',0.250,0.025,-0.225,-0.138,0.238,-0.101,-0.097,0.198,0.232,0.085,-0.027,-0.046,0.153,-0.165,0.066
'0:16.237',0.268,0.042,-0.227,-0.155,0.247,-0.092,-0.092,0.205,0.239,0.090,-0.025,-0.043,0.153,-0.160,0.069
'0:16.238',0.240,0.026,-0.214,-0.133,0.228,-0.095,-0.090,0.211,0.247,0.092,-0.025,-0.045,0.154,-0.161,0.070
'0:16.239',0.248,0.025,-0.225,-0.137,0.236,-0.101,-0.089,0.213,0.249,0.093,-0.027,-0.047,0.154,-0.164,0.067
'0:16.240',0.220,-0.017,-0.237,-0.102,0.229,-0.127,-0.106,0.201,0.236,0.078,-0.043,-0.064,0.157,-0.162,0.067
'0:16.241',0.211,-0.027,-0.238,-0.092,0.225,-0.133,-0.110,0.203,0.236,0.075,-0.048,-0.070,0.156,-0.162,0.065
'0:16.242',0.249,0.010,-0.239,-0.130,0.244,-0.115,-0.093,0.220,0.255,0.090,-0.033,-0.057,0.155,-0.168,0.065
'0:16.243',0.260,0.018,-0.241,-0.139,0.251,-0.112,-0.082,0.234,0.267,0.101,-0.026,-0.049,0.157,-0.172,0.064
'0:16.244',0.255,0.009,-0.246,-0.132,0.251,-0.119,-0.083,0.235,0.267,0.100,-0.033,-0.056,0.157,-0.174,0.065
'0:16.245',0.237,-0.018,-0.256,-0.110,0.247,-0.137,-0.090,0.227,0.259,0.088,-0.041,-0.067,0.158,-0.175,0.066
'0:16.246',0.251,-0.009,-0.260,-0.120,0.256,-0.135,-0.087,0.234,0.267,0.092,-0.037,-0.060,0.156,-0.182,0.061
'0:16.247',0.246,-0.009,-0.257,-0.118,0.252,-0.134,-0.085,0.241,0.271,0.097,-0.036,-0.058,0.158,-0.189,0.060
'0:16.248',0.251,-0.018,-0.269,-0.117,0.260,-0.143,-0.084,0.242,0.270,0.092,-0.040,-0.062,0.158,-0.183,0.060
'0:16.249',0.266,-0.010,-0.277,-0.128,0.272,-0.143,-0.082,0.244,0.274,0.095,-0.041,-0.062,0.157,-0.181,0.060
'0:16.250',0.261,-0.012,-0.273,-0.124,0.267,-0.142,-0.079,0.251,0.280,0.098,-0.038,-0.061,0.157,-0.190,0.061
'0:16.251',0.266,-0.009,-0.275,-0.128,0.270,-0.142,-0.074,0.259,0.286,0.102,-0.036,-0.059,0.157,-0.189,0.059
'0:16.252',0.269,-0.006,-0.275,-0.132,0.272,-0.141,-0.072,0.260,0.286,0.105,-0.035,-0.058,0.159,-0.189,0.058
'0:16.253',0.260,-0.004,-0.264,-0.128,0.262,-0.134,-0.071,0.260,0.286,0.102,-0.037,-0.059,0.158,-0.192,0.058
'0:16.254',0.256,-0.006,-0.262,-0.125,0.260,-0.135,-0.070,0.261,0.287,0.103,-0.037,-0.060,0.158,-0.191,0.055
'0:16.255',0.259,-0.001,-0.259,-0.129,0.260,-0.130,-0.063,0.269,0.294,0.110,-0.030,-0.056,0.159,-0.190,0.054
'0:16.256',0.256,0.009,-0.247,-0.132,0.252,-0.119,-0.058,0.275,0.300,0.115,-0.028,-0.051,0.158,-0.180,0.054
'0:16.257',0.260,0.004,-0.257,-0.132,0.259,-0.127,-0.062,0.270,0.296,0.108,-0.034,-0.054,0.159,-0.182,0.053
'0:16.258',0.265,0.004,-0.261,-0.134,0.263,-0.129,-0.065,0.267,0.293,0.105,-0.036,-0.057,0.157,-0.185,0.051
'0:16.259',0.260,0.009,-0.251,-0.134,0.256,-0.121,-0.061,0.269,0.295,0.107,-0.035,-0.052,0.158,-0.180,0.050
'0:16.260',0.262,0.013,-0.248,-0.137,0.255,-0.117,-0.058,0.271,0.300,0.111,-0.032,-0.054,0.159,-0.178,0.048
'0:16.261',0.256,0.011,-0.245,-0.134,0.251,-0.117,-0.058,0.271,0.299,0.110,-0.031,-0.056,0.155,-0.172,0.046
'0:16.262',0.254,0.006,-0.247,-0.131,0.251,-0.121,-0.057,0.274,0.298,0.108,-0.031,-0.056,0.159,-0.170,0.048
'0:16.263',0.262,0.009,-0.253,-0.135,0.258,-0.122,-0.051,0.278,0.300,0.113,-0.028,-0.054,0.160,-0.178,0.045
'0:16.264',0.256,0.002,-0.254,-0.129,0.255,-0.126,-0.054,0.276,0.300,0.112,-0.028,-0.054,0.159,-0.175,0.045
'0:16.265',0.254,-0.001,-0.255,-0.126,0.254,-0.128,-0.057,0.276,0.302,0.111,-0.029,-0.057,0.156,-0.173,0.044
'0:16.266',0.258,0.001,-0.258,-0.129,0.258,-0.129,-0.051,0.277,0.305,0.115,-0.026,-0.054,0.159,-0.171,0.043
'0:16.267',0.258,-0.002,-0.260,-0.128,0.260,-0.132,-0.051,0.277,0.304,0.114,-0.026,-0.054,0.162,-0.166,0.041
'0:16.268',0.260,-0.003,-0.262,-0.129,0.262,-0.133,-0.051,0.278,0.303,0.115,-0.026,-0.053,0.159,-0.172,0.037
'0:16.269',0.255,-0.001,-0.256,-0.127,0.256,-0.129,-0.050,0.279,0.302,0.115,-0.025,-0.053,0.157,-0.169,0.035
'0:16.270',0.247,-0.001,-0.247,-0.123,0.247,-0.124,-0.048,0.279,0.303,0.116,-0.023,-0.053,0.159,-0.166,0.035
'0:16.271',0.267,0.018,-0.249,-0.142,0.258,-0.116,-0.036,0.287,0.309,0.124,-0.013,-0.043,0.161,-0.169,0.034
'0:16.272',0.274,0.027,-0.246,-0.150,0.260,-0.110,-0.033,0.291,0.312,0.128,-0.009,-0.039,0.161,-0.164,0.031
'0:16.273',0.257,0.017,-0.240,-0.137,0.248,-0.112,-0.037,0.286,0.308,0.123,-0.012,-0.042,0.160,-0.161,0.030
'0:16.274',0.244,0.013,-0.232,-0.129,0.238,-0.110,-0.035,0.286,0.306,0.125,-0.011,-0.041,0.161,-0.158,0.029
'0:16.275',0.248,0.021,-0.228,-0.134,0.238,-0.104,-0.031,0.287,0.307,0.128,-0.006,-0.037,0.161,-0.158,0.028
'0:16.276',0.247,0.027,-0.221,-0.137,0.234,-0.097,-0.029,0.286,0.307,0.128,-0.005,-0.036,0.159,-0.148,0.028
'0:16.277',0.239,0.026,-0.213,-0.133,0.227,-0.094,-0.029,0.285,0.306,0.128,-0.005,-0.037,0.157,-0.143,0.025
'0:16.278',0.242,0.030,-0.212,-0.136,0.227,-0.091,-0.029,0.281,0.302,0.125,-0.005,-0.037,0.158,-0.144,0.023
'0:16.279',0.237,0.032,-0.205,-0.135,0.222,-0.087,-0.028,0.280,0.299,0.124,-0.005,-0.035,0.157,-0.138,0.024
'0:16.280',0.241,0.036,-0.205,-0.139,0.224,-0.085,-0.024,0.281,0.299,0.124,-0.005,-0.033,0.158,-0.141,0.021
'0:16.281',0.249,0.050,-0.200,-0.149,0.225,-0.075,-0.021,0.281,0.299,0.124,-0.002,-0.028,0.159,-0.136,0.021
'0:16.282',0.253,0.054,-0.199,-0.154,0.226,-0.072,-0.018,0.281,0.300,0.125,0.002,-0.026,0.156,-0.129,0.020
'0:16.283',0.240,0.036,-0.205,-0.139,0.223,-0.085,-0.021,0.276,0.295,0.121,-0.004,-0.031,0.157,-0.130,0.017
'0:16.284',0.233,0.033,-0.201,-0.133,0.217,-0.084,-0.019,0.276,0.292,0.120,-0.003,-0.032,0.156,-0.134,0.016
'0:16.285',0.242,0.041,-0.202,-0.141,0.222,-0.081,-0.015,0.277,0.291,0.121,0.001,-0.028,0.154,-0.131,0.015
'0:16.286',0.235,0.032,-0.203,-0.134,0.220,-0.086,-0.015,0.272,0.284,0.117,-0.002,-0.028,0.154,-0.122,0.013
'0:16.287',0.231,0.031,-0.200,-0.131,0.216,-0.085,-0.015,0.269,0.281,0.116,-0.004,-0.029,0.154,-0.126,0.011
'0:16.288',0.234,0.033,-0.202,-0.133,0.218,-0.085,-0.015,0.265,0.277,0.114,-0.004,-0.028,0.154,-0.128,0.009
'0:16.289',0.241,0.042,-0.199,-0.141,0.220,-0.079,-0.009,0.268,0.277,0.115,0.000,-0.022,0.154,-0.122,0.008
'0:16.290',0.236,0.044,-0.193,-0.140,0.215,-0.075,-0.005,0.268,0.277,0.116,0.002,-0.021,0.152,-0.120,0.005
'0:16.291',0.237,0.044,-0.193,-0.141,0.215,-0.074,-0.006,0.262,0.273,0.115,0.001,-0.022,0.151,-0.121,0.003
'0:16.292',0.238,0.052,-0.186,-0.145,0.212,-0.068,-0.004,0.262,0.273,0.117,0.004,-0.018,0.153,-0.117,0.001
'0:16.293',0.215,0.051,-0.164,-0.134,0.190,-0.057,0.002,0.260,0.271,0.117,0.009,-0.014,0.152,-0.110,0.000
'0:16.294',0.213,0.056,-0.158,-0.135,0.185,-0.051,0.005,0.259,0.270,0.119,0.013,-0.012,0.152,-0.106,-0.002
'0:16.295',0.217,0.062,-0.154,-0.140,0.186,-0.046,0.006,0.256,0.271,0.122,0.015,-0.007,0.152,-0.101,-0.002
'0:16.296',0.218,0.066,-0.152,-0.142,0.185,-0.044,0.005,0.249,0.266,0.120,0.015,-0.006,0.152,-0.096,-0.002
'0:16.297',0.212,0.062,-0.151,-0.138,0.182,-0.044,0.002,0.243,0.258,0.116,0.015,-0.009,0.147,-0.093,-0.005
'0:16.298',0.197,0.064,-0.133,-0.130,0.165,-0.035,0.008,0.244,0.259,0.117,0.021,-0.006,0.146,-0.086,-0.009
'0:16.299',0.194,0.068,-0.126,-0.131,0.160,-0.029,0.014,0.244,0.260,0.119,0.025,-0.003,0.150,-0.086,-0.008
'0:16.300',0.200,0.077,-0.123,-0.139,0.162,-0.023,0.017,0.243,0.257,0.121,0.031,-0.001,0.147,-0.088,-0.013
'0:16.301',0.226,0.092,-0.133,-0.159,0.179,-0.021,0.018,0.240,0.255,0.120,0.034,-0.002,0.144,-0.085,-0.015
'0:16.302',0.212,0.090,-0.121,-0.151,0.167,-0.016,0.022,0.241,0.257,0.124,0.038,0.006,0.146,-0.081,-0.014
'0:16.303',0.193,0.079,-0.114,-0.136,0.154,-0.018,0.023,0.238,0.252,0.122,0.038,0.006,0.145,-0.083,-0.017
'0:16.304',0.214,0.082,-0.132,-0.148,0.173,-0.025,0.019,0.228,0.240,0.115,0.032,0.001,0.144,-0.084,-0.018
'0:16.305',0.205,0.081,-0.123,-0.143,0.165,-0.021,0.022,0.224,0.238,0.115,0.035,0.004,0.143,-0.077,-0.019
'0:16.306',0.228,0.097,-0.131,-0.162,0.179,-0.017,0.028,0.226,0.240,0.117,0.039,0.001,0.138,-0.080,-0.021
'0:16.307',0.220,0.110,-0.108,-0.165,0.165,0.001,0.042,0.235,0.249,0.127,0.047,0.012,0.136,-0.071,-0.022
'0:16.308',0.188,0.088,-0.100,-0.138,0.144,-0.005,0.036,0.225,0.239,0.120,0.042,0.009,0.137,-0.059,-0.025
'0:16.309',0.217,0.085,-0.132,-0.151,0.175,-0.024,0.025,0.207,0.224,0.108,0.030,-0.002,0.138,-0.059,-0.026
'0:16.310',0.209,0.091,-0.117,-0.150,0.164,-0.013,0.030,0.208,0.225,0.109,0.035,0.003,0.137,-0.063,-0.027
'0:16.311',0.201,0.081,-0.118,-0.141,0.160,-0.018,0.028,0.203,0.216,0.104,0.033,0.001,0.136,-0.070,-0.031
'0:16.312',0.186,0.082,-0.104,-0.135,0.145,-0.011,0.031,0.201,0.215,0.107,0.037,0.005,0.137,-0.066,-0.035
'0:16.313',0.178,0.089,-0.088,-0.134,0.134,0.001,0.035,0.200,0.214,0.108,0.042,0.009,0.136,-0.066,-0.036
'0:16.314',0.190,0.095,-0.094,-0.143,0.142,0.001,0.035,0.193,0.209,0.106,0.043,0.011,0.139,-0.064,-0.039
'0:16.315',0.196,0.106,-0.089,-0.151,0.143,0.008,0.035,0.192,0.209,0.106,0.045,0.011,0.138,-0.051,-0.040
'0:16.316',0.210,0.104,-0.104,-0.158,0.158,0.000,0.029,0.178,0.195,0.096,0.037,0.004,0.137,-0.050,-0.038
'0:16.317',0.193,0.106,-0.086,-0.149,0.140,0.010,0.034,0.178,0.194,0.098,0.042,0.009,0.135,-0.052,-0.038
'0:16.318',0.185,0.110,-0.075,-0.148,0.131,0.018,0.034,0.180,0.194,0.101,0.044,0.015,0.136,-0.046,-0.038
'0:16.319',0.193,0.120,-0.073,-0.157,0.134,0.024,0.037,0.178,0.195,0.102,0.047,0.020,0.136,-0.032,-0.037
'0:16.320',0.198,0.137,-0.061,-0.168,0.130,0.037,0.043,0.180,0.198,0.107,0.053,0.026,0.135,-0.030,-0.041
'0:16.321',0.183,0.122,-0.060,-0.153,0.122,0.031,0.038,0.171,0.187,0.100,0.051,0.018,0.133,-0.041,-0.043
'0:16.322',0.185,0.132,-0.052,-0.159,0.119,0.040,0.046,0.172,0.189,0.102,0.058,0.022,0.132,-0.040,-0.041
'0:16.323',0.208,0.144,-0.063,-0.176,0.136,0.041,0.046,0.171,0.185,0.101,0.057,0.030,0.136,-0.034,-0.040
'0:16.324',0.204,0.135,-0.069,-0.170,0.137,0.033,0.038,0.160,0.174,0.093,0.050,0.024,0.136,-0.028,-0.039
'0:16.325',0.186,0.117,-0.070,-0.152,0.129,0.024,0.030,0.149,0.164,0.086,0.044,0.018,0.134,-0.029,-0.042
'0:16.326',0.167,0.098,-0.068,-0.133,0.117,0.015,0.028,0.141,0.157,0.080,0.042,0.015,0.134,-0.037,-0.042
'0:16.327',0.183,0.117,-0.066,-0.150,0.124,0.025,0.033,0.142,0.161,0.086,0.050,0.022,0.134,-0.036,-0.043
'0:16.328',0.177,0.106,-0.070,-0.142,0.123,0.018,0.028,0.133,0.153,0.080,0.045,0.018,0.133,-0.037,-0.043
'0:16.329',0.158,0.097,-0.060,-0.128,0.110,0.018,0.028,0.130,0.150,0.078,0.046,0.018,0.132,-0.035,-0.045
'0:16.330',0.163,0.113,-0.050,-0.138,0.106,0.032,0.035,0.135,0.153,0.086,0.055,0.027,0.132,-0.032,-0.048
'0:16.331',0.166,0.108,-0.056,-0.138,0.111,0.026,0.033,0.127,0.147,0.079,0.051,0.024,0.132,-0.029,-0.047
'0:16.332',0.193,0.127,-0.067,-0.160,0.130,0.030,0.032,0.126,0.144,0.079,0.052,0.027,0.132,-0.021,-0.048
'0:16.333',0.190,0.137,-0.053,-0.164,0.122,0.042,0.036,0.125,0.145,0.081,0.057,0.029,0.132,-0.021,-0.049
'0:16.334',0.160,0.114,-0.045,-0.137,0.103,0.034,0.032,0.117,0.139,0.076,0.052,0.026,0.132,-0.019,-0.050
'0:16.335',0.149,0.119,-0.029,-0.135,0.090,0.045,0.035,0.120,0.141,0.083,0.060,0.033,0.130,-0.015,-0.050
'0:16.336',0.138,0.134,-0.004,-0.136,0.071,0.066,0.046,0.126,0.149,0.089,0.070,0.042,0.130,-0.012,-0.049
'0:16.337',0.143,0.130,-0.013,-0.137,0.079,0.059,0.036,0.115,0.138,0.079,0.061,0.032,0.131,-0.007,-0.048
'0:16.338',0.167,0.132,-0.035,-0.149,0.101,0.049,0.025,0.101,0.125,0.070,0.052,0.024,0.130,-0.004,-0.048
'0:16.339',0.145,0.132,-0.013,-0.139,0.080,0.059,0.032,0.104,0.132,0.076,0.060,0.036,0.131,-0.004,-0.047
'0:16.340',0.139,0.142,0.004,-0.141,0.068,0.073,0.033,0.104,0.133,0.077,0.064,0.042,0.134,0.004,-0.047
'0:16.341',0.148,0.145,-0.003,-0.147,0.076,0.071,0.026,0.098,0.127,0.072,0.062,0.035,0.133,0.008,-0.048
'0:16.342',0.154,0.147,-0.006,-0.150,0.081,0.070,0.029,0.097,0.126,0.073,0.066,0.037,0.133,0.004,-0.046
'0:16.343',0.168,0.146,-0.020,-0.158,0.094,0.063,0.028,0.092,0.121,0.070,0.064,0.038,0.136,0.006,-0.047
'0:16.344',0.167,0.140,-0.026,-0.153,0.097,0.057,0.020,0.083,0.113,0.065,0.057,0.034,0.136,0.006,-0.048
'0:16.345',0.169,0.141,-0.027,-0.156,0.099,0.058,0.018,0.078,0.109,0.062,0.057,0.033,0.135,0.006,-0.047
'0:16.346',0.152,0.135,-0.017,-0.143,0.085,0.059,0.021,0.080,0.108,0.064,0.060,0.035,0.131,0.001,-0.047
'0:16.347',0.155,0.139,-0.017,-0.147,0.086,0.060,0.020,0.079,0.107,0.066,0.060,0.039,0.134,-0.002,-0.046
'0:16.348',0.172,0.143,-0.028,-0.158,0.100,0.058,0.017,0.073,0.102,0.060,0.059,0.037,0.136,0.002,-0.045
'0:16.349',0.169,0.145,-0.024,-0.157,0.096,0.061,0.017,0.072,0.102,0.060,0.062,0.038,0.134,0.003,-0.048
'0:16.350',0.166,0.144,-0.021,-0.155,0.094,0.061,0.019,0.070,0.103,0.064,0.065,0.041,0.133,0.004,-0.049
'0:16.351',0.168,0.144,-0.022,-0.156,0.096,0.061,0.019,0.069,0.101,0.066,0.067,0.043,0.134,0.002,-0.049
'0:16.352',0.160,0.152,-0.007,-0.156,0.084,0.072,0.022,0.072,0.103,0.069,0.072,0.049,0.137,0.002,-0.048
'0:16.353',0.161,0.157,-0.004,-0.160,0.083,0.077,0.018,0.066,0.098,0.064,0.070,0.045,0.136,0.005,-0.045
'0:16.354',0.172,0.161,-0.011,-0.167,0.091,0.075,0.017,0.062,0.097,0.065,0.070,0.046,0.135,0.009,-0.050
'0:16.355',0.147,0.151,0.004,-0.149,0.071,0.077,0.018,0.064,0.097,0.066,0.072,0.049,0.133,0.009,-0.050
'0:16.356',0.141,0.147,0.006,-0.144,0.068,0.076,0.011,0.057,0.091,0.061,0.070,0.046,0.132,0.004,-0.049
'0:16.357',0.142,0.151,0.010,-0.147,0.066,0.081,0.013,0.057,0.092,0.064,0.071,0.049,0.133,0.006,-0.049
'0:16.358',0.140,0.155,0.016,-0.147,0.062,0.086,0.012,0.056,0.092,0.064,0.074,0.051,0.133,0.021,-0.048
'0:16.359',0.143,0.160,0.017,-0.151,0.064,0.088,0.012,0.053,0.090,0.065,0.073,0.051,0.134,0.028,-0.046
'0:16.360',0.147,0.162,0.015,-0.155,0.066,0.088,0.012,0.051,0.089,0.066,0.072,0.048,0.134,0.024,-0.050
'0:16.361',0.147,0.163,0.015,-0.155,0.067,0.088,0.009,0.049,0.087,0.064,0.074,0.050,0.136,0.021,-0.049
'0:16.362',0.141,0.161,0.020,-0.151,0.061,0.090,0.009,0.048,0.083,0.061,0.073,0.053,0.138,0.024,-0.046
'0:16.363',0.149,0.161,0.013,-0.155,0.069,0.086,0.008,0.045,0.079,0.059,0.072,0.053,0.137,0.029,-0.046
'0:16.364',0.143,0.158,0.015,-0.151,0.065,0.087,0.008,0.044,0.080,0.058,0.072,0.053,0.137,0.030,-0.044
'0:16.365',0.139,0.160,0.021,-0.149,0.059,0.090,0.007,0.044,0.079,0.057,0.073,0.052,0.137,0.032,-0.043
'0:16.366',0.140,0.161,0.021,-0.150,0.060,0.090,0.007,0.042,0.077,0.058,0.074,0.053,0.138,0.026,-0.042
'0:16.367',0.144,0.162,0.018,-0.153,0.064,0.089,0.007,0.042,0.076,0.057,0.074,0.053,0.137,0.017,-0.044
'0:16.368',0.158,0.165,0.008,-0.162,0.075,0.086,0.004,0.041,0.073,0.055,0.072,0.052,0.137,0.012,-0.046
'0:16.369',0.164,0.164,0.001,-0.165,0.082,0.083,0.000,0.037,0.070,0.053,0.069,0.050,0.138,0.015,-0.043
'0:16.370',0.163,0.163,0.001,-0.163,0.081,0.082,-0.001,0.036,0.069,0.055,0.070,0.051,0.136,0.022,-0.043
'0:16.371',0.165,0.163,-0.002,-0.164,0.083,0.081,0.001,0.036,0.068,0.056,0.069,0.049,0.136,0.024,-0.045
'0:16.372',0.154,0.163,0.009,-0.159,0.073,0.086,0.004,0.037,0.068,0.057,0.070,0.051,0.136,0.025,-0.046
'0:16.373',0.146,0.167,0.021,-0.157,0.062,0.094,0.003,0.036,0.068,0.059,0.070,0.052,0.136,0.021,-0.043
'0:16.374',0.152,0.169,0.017,-0.161,0.068,0.092,0.001,0.035,0.067,0.058,0.070,0.051,0.133,0.024,-0.047
'0:16.375',0.152,0.171,0.019,-0.162,0.067,0.095,0.001,0.036,0.064,0.059,0.071,0.053,0.134,0.029,-0.048
'0:16.376',0.136,0.173,0.038,-0.155,0.049,0.106,0.005,0.039,0.067,0.062,0.075,0.059,0.134,0.025,-0.045
'0:16.377',0.139,0.174,0.035,-0.157,0.052,0.105,0.003,0.034,0.064,0.059,0.073,0.056,0.132,0.022,-0.047
'0:16.378',0.158,0.173,0.016,-0.166,0.071,0.095,-0.006,0.026,0.055,0.053,0.069,0.051,0.135,0.029,-0.045
'0:16.379',0.150,0.173,0.025,-0.162,0.063,0.099,-0.003,0.030,0.058,0.056,0.073,0.056,0.134,0.030,-0.047
'0:16.380',0.150,0.180,0.029,-0.166,0.060,0.105,-0.002,0.029,0.056,0.057,0.073,0.055,0.134,0.038,-0.051
'0:16.381',0.146,0.181,0.035,-0.164,0.056,0.108,-0.003,0.029,0.059,0.059,0.073,0.055,0.134,0.039,-0.050
'0:16.382',0.145,0.180,0.035,-0.163,0.055,0.107,-0.002,0.031,0.062,0.060,0.077,0.056,0.134,0.039,-0.049
'0:16.383',0.153,0.176,0.024,-0.166,0.066,0.100,-0.005,0.028,0.057,0.056,0.072,0.053,0.132,0.038,-0.048
'0:16.384',0.148,0.170,0.023,-0.160,0.063,0.097,-0.008,0.026,0.055,0.056,0.072,0.050,0.130,0.032,-0.048
'0:16.385',0.140,0.172,0.033,-0.157,0.054,0.102,-0.004,0.030,0.059,0.061,0.079,0.056,0.130,0.035,-0.049
'0:16.386',0.132,0.169,0.037,-0.151,0.048,0.103,-0.003,0.030,0.056,0.060,0.078,0.058,0.131,0.034,-0.048
'0:16.387',0.147,0.172,0.025,-0.160,0.061,0.099,-0.009,0.025,0.053,0.057,0.074,0.052,0.134,0.033,-0.044
'0:16.388',0.161,0.178,0.018,-0.170,0.071,0.099,-0.006,0.027,0.055,0.059,0.076,0.056,0.136,0.029,-0.046
'0:16.389',0.155,0.176,0.022,-0.166,0.067,0.099,-0.005,0.028,0.053,0.059,0.075,0.056,0.135,0.028,-0.048
'0:16.390',0.152,0.171,0.019,-0.162,0.067,0.095,-0.009,0.024,0.051,0.057,0.072,0.054,0.134,0.028,-0.045
'0:16.391',0.151,0.171,0.019,-0.162,0.066,0.095,-0.007,0.026,0.052,0.060,0.076,0.059,0.135,0.032,-0.045
'0:16.392',0.136,0.181,0.045,-0.159,0.045,0.114,0.002,0.037,0.061,0.070,0.086,0.067,0.135,0.038,-0.048
'0:16.393',0.128,0.184,0.057,-0.156,0.035,0.120,0.002,0.035,0.061,0.069,0.086,0.068,0.135,0.038,-0.046
'0:16.394',0.116,0.179,0.064,-0.147,0.026,0.121,0.003,0.036,0.062,0.070,0.087,0.071,0.136,0.040,-0.047
'0:16.395',0.139,0.182,0.044,-0.161,0.048,0.113,-0.003,0.033,0.059,0.065,0.082,0.067,0.138,0.038,-0.047
'0:16.396',0.174,0.183,0.011,-0.179,0.082,0.097,-0.017,0.019,0.044,0.052,0.071,0.055,0.138,0.043,-0.047
'0:16.397',0.155,0.187,0.032,-0.172,0.062,0.110,-0.013,0.024,0.051,0.058,0.076,0.062,0.137,0.044,-0.048
'0:16.398',0.145,0.191,0.045,-0.169,0.051,0.118,-0.009,0.026,0.053,0.062,0.082,0.067,0.139,0.043,-0.049
'0:16.399',0.144,0.192,0.049,-0.169,0.048,0.120,-0.007,0.026,0.056,0.064,0.085,0.068,0.140,0.046,-0.050
'0:16.400',0.146,0.195,0.049,-0.171,0.049,0.122,-0.008,0.024,0.055,0.064,0.084,0.069,0.141,0.049,-0.052
'0:16.401',0.147,0.198,0.051,-0.173,0.049,0.124,-0.008,0.022,0.052,0.061,0.083,0.069,0.139,0.049,-0.051
'0:16.402',0.144,0.199,0.054,-0.172,0.045,0.127,-0.007,0.025,0.057,0.064,0.086,0.070,0.137,0.047,-0.051
'0:16.403',0.133,0.189,0.056,-0.161,0.039,0.122,-0.009,0.025,0.058,0.066,0.087,0.070,0.139,0.047,-0.052
'0:16.404',0.128,0.185,0.058,-0.157,0.035,0.121,-0.012,0.022,0.055,0.062,0.086,0.070,0.140,0.051,-0.049
'0:16.405',0.131,0.187,0.057,-0.159,0.037,0.122,-0.013,0.022,0.057,0.065,0.089,0.071,0.141,0.051,-0.049
'0:16.406',0.141,0.190,0.050,-0.166,0.046,0.119,-0.011,0.026,0.058,0.068,0.091,0.070,0.141,0.047,-0.050
'0:16.407',0.153,0.182,0.030,-0.168,0.062,0.106,-0.019,0.021,0.050,0.059,0.084,0.059,0.138,0.045,-0.051
'0:16.408',0.167,0.203,0.036,-0.185,0.066,0.119,-0.010,0.030,0.061,0.069,0.095,0.073,0.141,0.040,-0.052
'0:16.409',0.203,0.224,0.021,-0.213,0.091,0.122,-0.013,0.031,0.060,0.069,0.095,0.079,0.144,0.038,-0.052
'0:16.410',0.175,0.182,0.007,-0.179,0.085,0.095,-0.033,0.009,0.041,0.049,0.075,0.055,0.142,0.049,-0.052
'0:16.411',0.135,0.169,0.035,-0.152,0.051,0.102,-0.027,0.013,0.045,0.053,0.081,0.061,0.143,0.051,-0.053
'0:16.412',0.132,0.179,0.049,-0.156,0.042,0.114,-0.024,0.018,0.050,0.059,0.086,0.067,0.143,0.049,-0.054
'0:16.413',0.127,0.178,0.052,-0.152,0.037,0.115,-0.025,0.016,0.051,0.058,0.086,0.065,0.143,0.057,-0.052
'0:16.414',0.143,0.196,0.052,-0.170,0.045,0.124,-0.017,0.025,0.056,0.065,0.093,0.072,0.145,0.058,-0.055
'0:16.415',0.152,0.206,0.055,-0.179,0.049,0.131,-0.018,0.025,0.059,0.068,0.097,0.075,0.146,0.051,-0.053
'0:16.416',0.148,0.209,0.062,-0.179,0.043,0.136,-0.020,0.023,0.059,0.067,0.099,0.077,0.146,0.059,-0.048
'0:16.417',0.130,0.205,0.076,-0.168,0.028,0.141,-0.015,0.026,0.062,0.070,0.101,0.080,0.146,0.053,-0.051
'0:16.418',0.126,0.205,0.081,-0.166,0.022,0.143,-0.015,0.024,0.064,0.072,0.102,0.081,0.146,0.055,-0.052
'0:16.419',0.148,0.210,0.062,-0.179,0.043,0.136,-0.021,0.015,0.052,0.062,0.095,0.074,0.145,0.059,-0.051
'0:16.420',0.126,0.198,0.072,-0.162,0.028,0.135,-0.025,0.009,0.046,0.058,0.091,0.072,0.146,0.059,-0.052
